date,date,symbol,signal,signal_type,stop_loss,take_profit,position_size
2018-02-26,2018-02-26,SPY,1,exit,,,0.1
2018-02-27,2018-02-27,SPY,1,exit,,,0.1
2018-03-12,2018-03-12,SPY,1,exit,,,0.1
2018-03-23,2018-03-23,SPY,-1,exit,,,0.1
2018-03-27,2018-03-27,SPY,-1,exit,,,0.1
2018-03-28,2018-03-28,SPY,-1,exit,,,0.1
2018-04-02,2018-04-02,SPY,-1,exit,,,0.1
2018-04-16,2018-04-16,SPY,-1,reversal,,,0.1
2018-04-18,2018-04-18,SPY,1,exit,,,0.1
2018-04-19,2018-04-19,SPY,-1,reversal,,,0.1
2018-05-09,2018-05-09,SPY,1,exit,,,0.1
2018-05-10,2018-05-10,SPY,1,exit,,,0.1
2018-05-11,2018-05-11,SPY,1,exit,,,0.1
2018-05-14,2018-05-14,SPY,1,exit,,,0.1
2018-05-16,2018-05-16,SPY,1,exit,,,0.1
2018-05-17,2018-05-17,SPY,1,exit,,,0.1
2018-05-18,2018-05-18,SPY,1,exit,,,0.1
2018-05-21,2018-05-21,SPY,1,exit,,,0.1
2018-05-22,2018-05-22,SPY,1,exit,,,0.1
2018-05-23,2018-05-23,SPY,1,exit,,,0.1
2018-05-24,2018-05-24,SPY,1,exit,,,0.1
2018-06-04,2018-06-04,SPY,1,exit,,,0.1
2018-06-05,2018-06-05,SPY,1,exit,,,0.1
2018-06-06,2018-06-06,SPY,1,exit,,,0.1
2018-06-07,2018-06-07,SPY,1,exit,,,0.1
2018-06-08,2018-06-08,SPY,1,exit,,,0.1
2018-06-11,2018-06-11,SPY,1,exit,,,0.1
2018-06-12,2018-06-12,SPY,1,exit,,,0.1
2018-06-13,2018-06-13,SPY,1,exit,,,0.1
2018-06-14,2018-06-14,SPY,1,exit,,,0.1
2018-06-27,2018-06-27,SPY,-1,exit,,,0.1
2018-07-11,2018-07-11,SPY,1,exit,,,0.1
2018-07-12,2018-07-12,SPY,1,exit,,,0.1
2018-07-13,2018-07-13,SPY,1,exit,,,0.1
2018-07-16,2018-07-16,SPY,1,exit,,,0.1
2018-07-17,2018-07-17,SPY,1,exit,,,0.1
2018-07-18,2018-07-18,SPY,1,exit,,,0.1
2018-07-19,2018-07-19,SPY,1,exit,,,0.1
2018-07-20,2018-07-20,SPY,1,exit,,,0.1
2018-07-23,2018-07-23,SPY,1,exit,,,0.1
2018-07-24,2018-07-24,SPY,1,exit,,,0.1
2018-07-25,2018-07-25,SPY,1,exit,,,0.1
2018-07-26,2018-07-26,SPY,1,exit,,,0.1
2018-08-06,2018-08-06,SPY,1,exit,,,0.1
2018-08-07,2018-08-07,SPY,1,exit,,,0.1
2018-08-08,2018-08-08,SPY,1,exit,,,0.1
2018-08-09,2018-08-09,SPY,1,exit,,,0.1
2018-08-20,2018-08-20,SPY,1,exit,,,0.1
2018-08-22,2018-08-22,SPY,1,exit,,,0.1
2018-08-24,2018-08-24,SPY,1,exit,,,0.1
2018-08-27,2018-08-27,SPY,1,exit,,,0.1
2018-08-28,2018-08-28,SPY,1,exit,,,0.1
2018-08-29,2018-08-29,SPY,1,exit,,,0.1
2018-08-30,2018-08-30,SPY,1,exit,,,0.1
2018-08-31,2018-08-31,SPY,1,exit,,,0.1
2018-09-04,2018-09-04,SPY,1,exit,,,0.1
2018-09-20,2018-09-20,SPY,1,exit,,,0.1
2018-10-10,2018-10-10,SPY,-1,exit,,,0.1
2018-10-11,2018-10-11,SPY,-1,exit,,,0.1
2018-10-24,2018-10-24,SPY,-1,exit,,,0.1
2018-10-25,2018-10-25,SPY,-1,exit,,,0.1
2018-10-26,2018-10-26,SPY,-1,exit,,,0.1
2018-10-29,2018-10-29,SPY,-1,exit,,,0.1
2018-11-08,2018-11-08,SPY,-1,reversal,,,0.1
2018-11-21,2018-11-21,SPY,1,exit,,,0.1
2018-11-23,2018-11-23,SPY,-1,exit,,,0.1
2018-11-26,2018-11-26,SPY,-1,exit,,,0.1
2018-12-17,2018-12-17,SPY,-1,exit,,,0.1
2018-12-18,2018-12-18,SPY,-1,exit,,,0.1
2018-12-19,2018-12-19,SPY,-1,exit,,,0.1
2018-12-20,2018-12-20,SPY,-1,exit,,,0.1
2018-12-21,2018-12-21,SPY,-1,exit,,,0.1
2018-12-24,2018-12-24,SPY,-1,exit,,,0.1
2019-01-09,2019-01-09,SPY,-1,reversal,,,0.1
2019-01-18,2019-01-18,SPY,1,exit,,,0.1
2019-01-22,2019-01-22,SPY,-1,reversal,,,0.1
2019-01-24,2019-01-24,SPY,1,exit,,,0.1
2019-01-25,2019-01-25,SPY,1,exit,,,0.1
2019-01-31,2019-01-31,SPY,1,exit,,,0.1
2019-02-01,2019-02-01,SPY,1,exit,,,0.1
2019-02-04,2019-02-04,SPY,1,exit,,,0.1
2019-02-05,2019-02-05,SPY,1,exit,,,0.1
2019-02-06,2019-02-06,SPY,1,exit,,,0.1
2019-02-12,2019-02-12,SPY,1,exit,,,0.1
2019-02-13,2019-02-13,SPY,1,exit,,,0.1
2019-02-14,2019-02-14,SPY,1,exit,,,0.1
2019-02-15,2019-02-15,SPY,1,exit,,,0.1
2019-02-19,2019-02-19,SPY,1,exit,,,0.1
2019-02-20,2019-02-20,SPY,1,exit,,,0.1
2019-02-21,2019-02-21,SPY,1,exit,,,0.1
2019-02-22,2019-02-22,SPY,1,exit,,,0.1
2019-02-25,2019-02-25,SPY,1,exit,,,0.1
2019-02-26,2019-02-26,SPY,1,exit,,,0.1
2019-02-27,2019-02-27,SPY,1,exit,,,0.1
2019-02-28,2019-02-28,SPY,1,exit,,,0.1
2019-03-01,2019-03-01,SPY,1,exit,,,0.1
2019-03-14,2019-03-14,SPY,1,exit,,,0.1
2019-03-15,2019-03-15,SPY,1,exit,,,0.1
2019-03-18,2019-03-18,SPY,1,exit,,,0.1
2019-03-19,2019-03-19,SPY,1,exit,,,0.1
2019-03-21,2019-03-21,SPY,1,exit,,,0.1
2019-04-02,2019-04-02,SPY,1,exit,,,0.1
