date,equity,cash,holdings
2018-02-08,100000.0,100000.0,0
2018-02-09,100000.0,100000.0,0
2018-02-12,100000.0,100000.0,0
2018-02-13,100000.0,100000.0,0
2018-02-14,100000.0,100000.0,0
2018-02-15,100000.0,100000.0,0
2018-02-16,100000.0,100000.0,0
2018-02-20,100000.0,100000.0,0
2018-02-21,100000.0,100000.0,0
2018-02-22,100000.0,100000.0,0
2018-02-23,100000.0,100000.0,0
2018-02-26,100000.0,100000.0,0
2018-02-27,100000.0,100000.0,0
2018-02-28,100000.0,100000.0,0
2018-03-01,100000.0,100000.0,0
2018-03-02,100000.0,100000.0,0
2018-03-05,100000.0,100000.0,0
2018-03-06,100000.0,100000.0,0
2018-03-07,100000.0,100000.0,0
2018-03-08,100000.0,100000.0,0
2018-03-09,100000.0,100000.0,0
2018-03-12,100000.0,100000.0,0
2018-03-13,100000.0,100000.0,0
2018-03-14,100000.0,100000.0,0
2018-03-15,100000.0,100000.0,0
2018-03-16,100000.0,100000.0,0
2018-03-19,100000.0,100000.0,0
2018-03-20,100000.0,100000.0,0
2018-03-21,100000.0,100000.0,0
2018-03-22,99914.769007035,57320.569624223695,42594.199382811305
2018-03-23,99370.14851874333,57320.569624223695,42049.57889451963
2018-03-26,100456.13802972493,57320.569624223695,43135.56840550123
2018-03-27,99724.55826933312,57320.569624223695,42403.988645109435
2018-03-28,99675.78628530701,57320.569624223695,42355.216661083316
2018-03-29,100020.44163909159,57320.569624223695,42699.8720148679
2018-04-02,99243.34136027543,57320.569624223695,41922.77173605173
2018-04-03,99635.14296528525,57320.569624223695,42314.57334106155
2018-04-04,100332.58233685876,57320.569624223695,43012.01271263506
2018-04-05,100022.06737189247,57320.569624223695,42701.49774766877
2018-04-06,99501.83287561385,57320.569624223695,42181.263251390155
2018-04-09,99771.70452055839,57320.569624223695,42451.13489633469
2018-04-10,100295.19048243873,57320.569624223695,42974.620858215036
2018-04-11,100283.81035283263,57320.569624223695,42963.240728608944
2018-04-12,100435.00350331361,57320.569624223695,43114.43387908991
2018-04-13,100456.13802972493,57320.569624223695,43135.56840550123
2018-04-16,100830.05657392519,57320.569624223695,43509.48694970149
2018-04-17,101255.9985677533,57320.569624223695,43935.4289435296
2018-04-18,101345.41387180118,57320.569624223695,44024.84424757749
2018-04-19,101030.02170843228,57320.569624223695,43709.452084208584
2018-04-20,100745.51846827992,57320.569624223695,43424.94884405621
2018-04-23,100747.14420108078,57320.569624223695,43426.574576857085
2018-04-24,100150.50026316124,57320.569624223695,42829.93063893755
2018-04-25,100361.84552727443,57320.569624223695,43041.27590305074
2018-04-26,100713.0038122625,57320.569624223695,43392.4341880388
2018-04-27,100654.47743143115,57320.569624223695,43333.907807207455
2018-04-30,100342.33673366398,57320.569624223695,43021.76710944029
2018-05-01,100472.39535773364,57320.569624223695,43151.82573350994
2018-05-02,100030.1960358968,57320.569624223695,42709.62641167312
