name,model_type,cv_scores,cv_mean,cv_std,total_return,ann_return,ann_volatility,sharpe_ratio,max_drawdown,cagr_dd_ratio,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_holding_period,accuracy,precision,recall,f1,current_regime,best_regime,worst_regime,strategy_type,strategy_name,config_name,config_model_type,config_symbol,config_position_size,config_primary_timeframe,config_bb_period,config_bb_std,config_rsi_period,config_rsi_overbought,config_rsi_oversold,config_supertrend_period,config_supertrend_multiplier,config_adx_primary_threshold,config_adx_secondary_threshold,config_atr_stop_multiplier,config_bars_to_enter,config_allow_same_bar_exit,bb_period,rsi_period,rsi_overbought,rsi_oversold,supertrend_period,supertrend_multiplier,adx_primary_threshold,adx_secondary_threshold,atr_stop_multiplier,primary_timeframe,uses_dual_timeframe,config_tema_primary_fast,config_tema_primary_slow,config_tema_secondary_fast,config_tema_secondary_slow,config_adx_threshold,config_cmo_long_threshold,config_cmo_short_threshold,config_atr_entry_offset,config_atr_stop_loss,config_atr_take_profit,config_use_dual_timeframe,tema_primary_fast,tema_primary_slow,tema_secondary_fast,tema_secondary_slow,adx_threshold,cmo_long_threshold,cmo_short_threshold,atr_entry_offset,atr_stop_loss,atr_take_profit,bars_to_enter,use_dual_timeframe,config_use_stoch_reversal,config_use_stoch_pullback,config_use_d60_trend_entry,config_use_d60_trend_exit,config_use_trailing_stop,config_use_force_eod,config_stoch_k_period,config_stoch_d_period,config_stoch_overbought,config_stoch_oversold,config_d60_lookback,config_trend_threshold,config_long_tp_perc,config_long_sl_perc,config_long_trail_activation_perc,config_long_trail_offset_ticks,config_rev_long_exit_count,config_rev_long_exit_threshold,config_rev_short_exit_count,config_rev_short_exit_threshold,config_pullback_long_exit_count,config_pullback_long_exit_threshold,config_pullback_short_exit_count,config_pullback_short_exit_threshold,config_end_of_day_hour,config_end_of_day_minute,use_stoch_reversal,use_stoch_pullback,use_d60_trend_entry,use_d60_trend_exit,use_trailing_stop,use_force_eod,stoch_k_period,stoch_d_period,stoch_overbought,stoch_oversold,d60_lookback,trend_threshold,long_tp_perc,long_sl_perc
Decision Tree,decision_tree,[0.49482163 0.53394707 0.50287687 0.5437788  0.49769585],0.5146240447996266,0.020199377573612856,0.4196455579005205,0.04965828331742572,0.08048415560438266,0.36849840934171046,0.16667426241263128,0.2979361216219932,5.0,0.8,59.97220869873421,10819.740281949946,-721.6502788017751,391.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Tree (Calibrated),decision_tree,[0.49482163 0.53394707 0.50287687 0.5437788  0.49769585],0.5146240447996266,0.020199377573612856,0.4196455579005205,0.04965828331742572,0.08048415560438266,0.36849840934171046,0.16667426241263128,0.2979361216219932,5.0,0.8,59.97220869873421,10819.740281949946,-721.6502788017751,391.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest,random_forest,[0.52013809 0.51668585 0.51783659 0.50806452 0.51152074],0.5148491565600589,0.004413178974071787,0.1594293645809437,0.020670586635551436,0.07623589734457936,0.008796205710289526,0.16053900243160135,0.12875741298042678,6.0,0.5,5.096465403538815,6922.248511357498,-1358.2449723981092,175.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest (Calibrated),random_forest,[0.52013809 0.51668585 0.51783659 0.50806452 0.51152074],0.5148491565600589,0.004413178974071787,0.1594293645809437,0.020670586635551436,0.07623589734457936,0.008796205710289526,0.16053900243160135,0.12875741298042678,6.0,0.5,5.096465403538815,6922.248511357498,-1358.2449723981092,175.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBoost (Fixed Position),xgboost,[0.53855006 0.49597238 0.52589183 0.50230415 0.52995392],0.5185344667582316,0.016478042598095405,0.2371083123736084,0.02986635635853796,0.15838600701860497,0.06229310621726197,0.3132421850725464,0.09534589458830699,63.0,0.7619047619047619,1.5239366309802111,2199.1424770898243,-4617.814011177751,25.746031746031747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBoost (Confidence-Scaled),xgboost,[0.53855006 0.49597238 0.52589183 0.50230415 0.52995392],0.5185344667582316,0.016478042598095405,0.13232653095754876,0.017336904815050902,0.11118269427640702,-0.02395242535073381,0.24747436658063393,0.07005535585198502,63.0,0.7619047619047619,1.449280540280391,1432.3403331362515,-3162.5961562619486,25.746031746031747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stacking Ensemble,stacking,[0.52589183 0.53624856 0.52128884 0.53686636 0.5483871 ],0.5337365370440095,0.009457585391709149,0.12569255728798656,0.01651045234160131,0.049740601786978186,-0.07015491435634848,0.12627895132463818,0.13074587782374125,5.0,0.8,6.80240609326623,3817.0839589688494,-2244.5493001350915,218.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regime Adaptive RF,random_forest,[0.52704258 0.52359033 0.50978136 0.49884793 0.53571429],0.5189952962513191,0.013085953490889783,,,,,,,,,,,,,,,,,weak_downtrend,"{'label': 'weak_downtrend', 'ann_return': 0.17130207293171706, 'sharpe': 0.5247425113556785, 'win_rate': 0.5338983050847458}","{'label': 'strong_uptrend', 'ann_return': -0.3121008671491584, 'sharpe': -1.3494760576865579, 'win_rate': 0.5182291666666666}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB-RSI-ADX Momentum,bb_rsi_adx,,,,,,,,,,,,,,,,,,,,,,,BBRSIADXAdapter,BB-RSI-ADX Momentum,BB-RSI-ADX Momentum,bb_rsi_adx,SPY,0.1,1h,20.0,2.0,14.0,70.0,30.0,10.0,3.0,20.0,40.0,6.0,1.0,False,20.0,14.0,70.0,30.0,10.0,3.0,20.0,40.0,6.0,1h,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMA Trend Following,tema,,,,,,,,,,,,,,,,,,,,,,,TEMAAdapter,TEMA Trend Following,TEMA Trend Following,tema,SPY,0.1,1h,,,,,,,,,,,6.0,False,,,,,,,,,,1h,,10.0,80.0,20.0,70.0,40.0,40.0,-40.0,1.0,3.0,3.0,True,10.0,80.0,20.0,70.0,40.0,40.0,-40.0,1.0,3.0,3.0,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quod Stochastic,quod,,,,,,,,,,,,,,,,,,,,,,,QuodAdapter,Quod Stochastic,Quod Stochastic,quod,SPY,0.1,5T,,,,,,,,,,,,True,,,,,,,,,,5T,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,False,14.0,3.0,80.0,20.0,60.0,0.02,1.01,0.99,1.005,100.0,3.0,80.0,3.0,20.0,2.0,80.0,2.0,20.0,16.0,0.0,True,True,False,True,False,False,14.0,3.0,80.0,20.0,60.0,0.02,1.01,0.99
