date,equity,cash,holdings
2018-02-08,99838.27411464827,19015.742704480275,80822.531410168
2018-02-09,100678.48986548552,19015.742704480275,81662.74716100525
2018-02-12,101437.79595142735,19015.742704480275,82422.05324694708
2018-02-13,101917.0301204234,19015.742704480275,82901.28741594312
2018-02-14,102919.06520105155,19015.742704480275,83903.32249657127
2018-02-15,104145.15781523629,19015.742704480275,85129.41511075602
2018-02-16,103906.65894587385,103906.65894587385,0
2018-02-20,103906.65894587385,103906.65894587385,0
2018-02-21,103906.65894587385,103906.65894587385,0
2018-02-22,103906.65894587385,103906.65894587385,0
2018-02-23,103906.65894587385,103906.65894587385,0
2018-02-26,103906.65894587385,103906.65894587385,0
2018-02-27,103906.65894587385,103906.65894587385,0
2018-02-28,103906.65894587385,103906.65894587385,0
2018-03-01,103906.65894587385,103906.65894587385,0
2018-03-02,103906.65894587385,103906.65894587385,0
2018-03-05,103906.65894587385,103906.65894587385,0
2018-03-06,103906.65894587385,103906.65894587385,0
2018-03-07,103906.65894587385,103906.65894587385,0
2018-03-08,103906.65894587385,103906.65894587385,0
2018-03-09,103906.65894587385,103906.65894587385,0
2018-03-12,103906.65894587385,103906.65894587385,0
2018-03-13,103906.65894587385,103906.65894587385,0
2018-03-14,103906.65894587385,103906.65894587385,0
2018-03-15,103795.59257646944,48290.160590255466,55505.431986213975
2018-03-16,103640.55509459115,48290.160590255466,55350.39450433569
2018-03-19,102802.94999769033,48290.160590255466,54512.78940743487
2018-03-20,102889.52937068729,48290.160590255466,54599.36878043183
2018-03-21,102804.96347148097,48290.160590255466,54514.8028812255
2018-03-22,101043.17390468236,48290.160590255466,52753.01331442689
2018-03-23,100368.6601848223,48290.160590255466,52078.49959456685
2018-03-26,101713.66067696114,48290.160590255466,53423.50008670567
2018-03-27,100807.597471179,48290.160590255466,52517.43688092353
2018-03-28,100747.19325746018,48290.160590255466,52457.032667204716
2018-03-29,101174.0497010731,48290.160590255466,52883.88911081764
2018-04-02,100211.60922915342,48290.160590255466,51921.44863889795
2018-04-03,100696.85641269451,48290.160590255466,52406.69582243905
2018-04-04,101560.63666887349,48290.160590255466,53270.47607861802
2018-04-05,101176.06317486374,48290.160590255466,52885.90258460827
2018-04-06,100531.7515618631,48290.160590255466,52241.590971607635
2018-04-09,100865.98821110718,48290.160590255466,52575.82762085172
2018-04-10,101514.32677168906,48290.160590255466,53224.1661814336
2018-04-11,101500.23245515468,48290.160590255466,53210.07186489921
2018-04-12,101687.48551768299,48290.160590255466,53397.32492742752
2018-04-13,101713.66067696114,48290.160590255466,53423.50008670567
2018-04-16,102176.75964880534,48290.160590255466,53886.59905854988
2018-04-17,102595.51593769543,102595.51593769543,0
2018-04-18,102595.51593769543,102595.51593769543,0
2018-04-19,102595.51593769543,102595.51593769543,0
2018-04-20,102488.59790266416,49056.296537701965,53432.301364962186
2018-04-23,102490.59828832417,49056.296537701965,53434.30175062221
2018-04-24,101756.45675109452,49056.296537701965,52700.160213392555
2018-04-25,102016.50688689794,49056.296537701965,52960.21034919598
2018-04-26,102448.59018946363,49056.296537701965,53392.29365176166
2018-04-27,102376.57630570268,49056.296537701965,53320.27976800071
2018-04-30,101992.50225897762,49056.296537701965,52936.20572127566
2018-05-01,102152.53311177973,49056.296537701965,53096.23657407777
2018-05-02,101608.42821225258,49056.296537701965,52552.13167455061
2018-05-03,101578.42242735218,49056.296537701965,52522.12588965022
2018-05-04,102338.56897816218,49056.296537701965,53282.27244046021
2018-05-07,102384.57784834277,49056.296537701965,53328.28131064081
2018-05-08,102414.58363324318,49056.296537701965,53358.287095541215
2018-05-09,102964.6896897504,49056.296537701965,53908.39315204844
2018-05-10,103452.78379079682,49056.296537701965,54396.487253094856
2018-05-11,103696.83084132001,49056.296537701965,54640.53430361806
2018-05-14,103656.82312811949,49056.296537701965,54600.52659041753
2018-05-15,103194.73404065342,49056.296537701965,54138.437502951456
2018-05-16,103554.80345945815,49056.296537701965,54498.50692175619
2018-05-17,103514.79574625765,49056.296537701965,54458.49920855567
2018-05-18,103316.75756591503,49056.296537701965,54260.46102821307
2018-05-21,103716.83469792029,49056.296537701965,54660.538160218326
2018-05-22,103570.80654473836,49056.296537701965,54514.5100070364
2018-05-23,103676.82698471977,49056.296537701965,54620.5304470178
2018-05-24,103694.83045566,49056.296537701965,54638.53391795803
2018-05-25,103526.79806021778,49056.296537701965,54470.50152251583
2018-05-29,102886.67464900938,49056.296537701965,53830.378111307415
2018-05-30,103518.79651757769,49056.296537701965,54462.49997987572
2018-05-31,103286.75178101464,49056.296537701965,54230.455243312674
2018-06-01,103858.86207978215,49056.296537701965,54802.565542080185
2018-06-04,104022.8937039043,49056.296537701965,54966.59716620234
2018-06-05,104150.91838614599,49056.296537701965,55094.62184844403
2018-06-06,104562.9978321114,49056.296537701965,55506.701294409446
2018-06-07,104581.00130305164,49056.296537701965,55524.70476534968
2018-06-08,104751.03408415389,49056.296537701965,55694.737546451914
2018-06-11,104841.05143885507,49056.296537701965,55784.7549011531
2018-06-12,104911.06493695598,49056.296537701965,55854.768399254026
2018-06-13,104671.01865775282,49056.296537701965,55614.72212005086
2018-06-14,104809.04526829463,49056.296537701965,55752.74873059267
2018-06-15,104374.96158006895,49056.296537701965,55318.66504236698
2018-06-18,104138.91607218584,49056.296537701965,55082.61953448387
2018-06-19,104196.9272563266,49056.296537701965,55140.63071862463
2018-06-20,104316.95039592817,49056.296537701965,55260.65385822621
2018-06-21,103908.8717212828,49056.296537701965,54852.57518358084
2018-06-22,103966.88290542358,49056.296537701965,54910.58636772161
2018-06-25,103282.75100969458,49056.296537701965,54226.45447199261
2018-06-26,103458.78494777689,49056.296537701965,54402.488410074926
2018-06-27,103066.70935841175,49056.296537701965,54010.41282070978
2018-06-28,103316.75756591503,49056.296537701965,54260.46102821307
2018-06-29,103298.7540949748,49056.296537701965,54242.457557272835
2018-07-02,103448.78301947677,49056.296537701965,54392.4864817748
2018-07-03,103132.72208519261,49056.296537701965,54076.425547490646
2018-07-05,103570.80654473836,49056.296537701965,54514.5100070364
2018-07-06,104152.91877180603,49056.296537701965,55096.622234104056
2018-07-09,104741.03215585375,49056.296537701965,55684.73561815178
2018-07-10,104414.96929326947,49056.296537701965,55358.6727555675
2018-07-11,104488.98356269044,49056.296537701965,55432.687024988474
2018-07-12,104965.07534977669,49056.296537701965,55908.77881207473
2018-07-13,105025.08691957749,49056.296537701965,55968.79038187552
2018-07-16,104885.05992337564,49056.296537701965,55828.76338567367
2018-07-17,105235.12741388023,49056.296537701965,56178.83087617827
2018-07-18,105273.13474142074,49056.296537701965,56216.83820371877
2018-07-19,105089.09926069833,49056.296537701965,56032.80272299636
2018-07-20,105003.0826773172,49056.296537701965,55946.78613961523
2018-07-23,105273.13474142074,49056.296537701965,56216.83820371877
2018-07-24,105327.14515424144,49056.296537701965,56270.848616539486
2018-07-25,105671.21148776598,49056.296537701965,56614.914950064005
2018-07-26,105813.23886962785,49056.296537701965,56756.94233192588
2018-07-27,105331.14592556149,49056.296537701965,56274.84938785953
2018-07-30,105089.09926069833,49056.296537701965,56032.80272299636
2018-07-31,105339.14746820161,49056.296537701965,56282.85093049965
2018-08-01,105271.1343557607,49056.296537701965,56214.837818058746
2018-08-02,105571.19220476465,49056.296537701965,56514.89566706269
2018-08-03,105791.23462736755,49056.296537701965,56734.938089665586
2018-08-06,105997.27435035026,49056.296537701965,56940.977812648285
2018-08-07,106179.30944541265,49056.296537701965,57123.01290771068
2018-08-08,105981.27229326827,105981.27229326827,0
2018-08-09,105981.27229326827,105981.27229326827,0
2018-08-10,105855.44342203398,42972.449301942725,62882.99412009126
2018-08-13,105596.10925523628,42972.449301942725,62623.65995329356
2018-08-14,105915.28976821808,42972.449301942725,62942.84046627535
2018-08-15,105463.11737482721,42972.449301942725,62490.66807288449
2018-08-16,105939.67161295973,42972.449301942725,62967.22231101701
2018-08-17,106156.89168429456,42972.449301942725,63184.44238235184
2018-08-20,106258.85212594151,42972.449301942725,63286.40282399879
2018-08-21,106072.6634933688,42972.449301942725,63100.21419142609
2018-08-22,106278.3412393005,106278.3412393005,0
2018-08-23,106278.3412393005,106278.3412393005,0
2018-08-24,106278.3412393005,106278.3412393005,0
2018-08-27,106278.3412393005,106278.3412393005,0
2018-08-28,106278.3412393005,106278.3412393005,0
2018-08-29,106278.3412393005,106278.3412393005,0
2018-08-30,106278.3412393005,106278.3412393005,0
2018-08-31,106278.3412393005,106278.3412393005,0
2018-09-04,106278.3412393005,106278.3412393005,0
2018-09-05,106114.0617782665,24015.38060184948,82098.68117641703
2018-09-06,105895.10162965427,24015.38060184948,81879.72102780479
2018-09-07,105735.857885209,24015.38060184948,81720.47728335952
2018-09-10,106000.3162465199,24015.38060184948,81984.93564467042
2018-09-11,106290.36735247377,24015.38060184948,82274.98675062429
2018-09-12,106202.21456537014,24015.38060184948,82186.83396352066
2018-09-13,106711.22581993627,24015.38060184948,82695.84521808679
2018-09-14,106742.5058411666,24015.38060184948,82727.12523931712
2018-09-17,105988.94169334523,24015.38060184948,81973.56109149575
2018-09-18,106768.09858580958,24015.38060184948,82752.7179839601
2018-09-19,106930.18596854851,24015.38060184948,82914.80536669903
2018-09-20,107587.06641438525,24015.38060184948,83571.68581253577
2018-09-21,106961.46598977884,24015.38060184948,82946.08538792936
2018-09-24,106810.75316021458,24015.38060184948,82795.3725583651
2018-09-25,106768.09858580958,24015.38060184948,82752.7179839601
2018-09-26,106478.0474798557,24015.38060184948,82462.66687800622
2018-09-27,106716.9130965236,24015.38060184948,82701.53249467412
2018-09-28,106765.25494751592,24015.38060184948,82749.87434566644
2018-10-01,106961.46598977884,24015.38060184948,82946.08538792936
2018-10-02,106941.56052172318,24015.38060184948,82926.1799198737
2018-10-03,106850.56409632589,24015.38060184948,82835.18349447641
2018-10-04,106446.76745862537,24015.38060184948,82431.38685677589
2018-10-05,105943.44348064659,24015.38060184948,81928.0628787971
2018-10-08,105895.10162965427,24015.38060184948,81879.72102780479
2018-10-09,105846.75977866194,24015.38060184948,81831.37917681246
2018-10-10,102698.85218757423,24015.38060184948,78683.47158572475
2018-10-11,102158.5609117778,24015.38060184948,78143.18030992831
2018-10-12,102818.28499590818,24015.38060184948,78802.9043940587
2018-10-15,102121.59361396014,24015.38060184948,78106.21301211066
2018-10-16,103893.18027091374,24015.38060184948,79877.79966906426
2018-10-17,103631.56554789652,24015.38060184948,79616.18494604704
2018-10-18,102656.19761316925,24015.38060184948,78640.81701131977
2018-10-19,102559.51391118462,24015.38060184948,78544.13330933514
2018-10-22,102078.93903955515,24015.38060184948,78063.55843770567
2018-10-23,101928.22620999088,24015.38060184948,77912.8456081414
2018-10-24,99568.0064262485,24015.38060184948,75552.62582439902
2018-10-25,99954.74123418702,24015.38060184948,75939.36063233754
2018-10-26,99761.37383021775,24015.38060184948,75745.99322836827
2018-10-29,99016.34059727739,24015.38060184948,75000.95999542791
2018-10-30,100284.60327625221,24015.38060184948,76269.22267440273
2018-10-31,101012.57467943057,24015.38060184948,76997.1940775811
2018-11-01,101618.26963598133,24015.38060184948,77602.88903413185
2018-11-02,101311.15670026546,24015.38060184948,77295.77609841598
2018-11-05,101953.81895463387,24015.38060184948,77938.43835278439
2018-11-06,102215.43367765109,24015.38060184948,78200.05307580161
2018-11-07,103972.80214313639,24015.38060184948,79957.42154128691
2018-11-08,103588.76890247875,103588.76890247875,0
2018-11-09,103588.76890247875,103588.76890247875,0
2018-11-12,103588.76890247875,103588.76890247875,0
2018-11-13,103588.76890247875,103588.76890247875,0
2018-11-14,103588.76890247875,103588.76890247875,0
2018-11-15,103588.76890247875,103588.76890247875,0
2018-11-16,103588.76890247875,103588.76890247875,0
2018-11-19,103588.76890247875,103588.76890247875,0
2018-11-20,103446.76367117344,32479.63158454807,70967.13208662537
2018-11-21,103777.25576744236,32479.63158454807,71297.62418289429
2018-11-23,103127.01928535227,32479.63158454807,70647.3877008042
2018-11-26,103892.79365475588,32479.63158454807,71413.1620702078
2018-11-27,104661.25495177144,32479.63158454807,72181.62336722336
2018-11-28,106098.76122416068,32479.63158454807,73619.12963961261
2018-11-29,105997.18304355307,105997.18304355307,0
2018-11-30,105997.18304355307,105997.18304355307,0
2018-12-03,105997.18304355307,105997.18304355307,0
2018-12-04,105997.18304355307,105997.18304355307,0
2018-12-06,105997.18304355307,105997.18304355307,0
2018-12-07,105876.946873392,45788.905813374906,60088.04106001709
2018-12-10,105924.86943091964,45788.905813374906,60135.96361754473
2018-12-11,106294.55773184716,45788.905813374906,60505.65191847226
2018-12-12,106458.86364337051,45788.905813374906,60669.95782999561
2018-12-13,106111.99560793233,45788.905813374906,60323.089794557425
2018-12-14,105082.80163436249,45788.905813374906,59293.89582098758
2018-12-17,104284.0923422351,45788.905813374906,58495.1865288602
2018-12-18,103916.68606785651,45788.905813374906,58127.78025448161
2018-12-19,103197.84770494187,45788.905813374906,57408.94189156697
2018-12-20,102506.39366061446,45788.905813374906,56717.48784723955
2018-12-21,100637.4139170364,45788.905813374906,54848.508103661494
2018-12-24,98978.3806159604,45788.905813374906,53189.474802585486
2018-12-26,101709.96639503603,45788.905813374906,55921.06058166111
2018-12-27,102385.44625352089,45788.905813374906,56596.54044014598
2018-12-28,102285.03708536773,45788.905813374906,56496.131271992825
2018-12-31,102860.10777569943,45788.905813374906,57071.201962324536
2019-01-02,101973.96188328083,101973.96188328083,0
2019-01-03,101973.96188328083,101973.96188328083,0
2019-01-04,101973.96188328083,101973.96188328083,0
2019-01-07,101973.96188328083,101973.96188328083,0
2019-01-08,101973.96188328083,101973.96188328083,0
2019-01-09,101973.96188328083,101973.96188328083,0
2019-01-10,101973.96188328083,101973.96188328083,0
2019-01-11,101973.96188328083,101973.96188328083,0
2019-01-14,101973.96188328083,101973.96188328083,0
2019-01-15,101973.96188328083,101973.96188328083,0
2019-01-16,101973.96188328083,101973.96188328083,0
2019-01-17,101973.96188328083,101973.96188328083,0
2019-01-18,101973.96188328083,101973.96188328083,0
2019-01-22,101973.96188328083,101973.96188328083,0
2019-01-23,101973.96188328083,101973.96188328083,0
2019-01-24,101973.96188328083,101973.96188328083,0
2019-01-25,101973.96188328083,101973.96188328083,0
2019-01-28,101973.96188328083,101973.96188328083,0
2019-01-29,101973.96188328083,101973.96188328083,0
2019-01-30,101973.96188328083,101973.96188328083,0
2019-01-31,101973.96188328083,101973.96188328083,0
2019-02-01,101973.96188328083,101973.96188328083,0
2019-02-04,101973.96188328083,101973.96188328083,0
2019-02-05,101973.96188328083,101973.96188328083,0
2019-02-06,101973.96188328083,101973.96188328083,0
2019-02-07,101851.01659148003,40409.09165353838,61441.92493794164
2019-02-08,102088.15606277616,40409.09165353838,61679.06440923779
2019-02-11,102234.08804511226,40409.09165353838,61824.996391573884
2019-02-12,103066.35638187279,40409.09165353838,62657.2647283344
2019-02-13,102993.39039070474,40409.09165353838,62584.298737166355
2019-02-14,102670.3046432417,102670.3046432417,0
2019-02-15,102670.3046432417,102670.3046432417,0
2019-02-19,102670.3046432417,102670.3046432417,0
2019-02-20,102670.3046432417,102670.3046432417,0
2019-02-21,102670.3046432417,102670.3046432417,0
2019-02-22,102670.3046432417,102670.3046432417,0
