,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days
0,SPY,2018-02-08,259.72,2018-02-16,273.34,365.77853072539654,4782.0397632065,0.052441090405051405,8
1,SPY,2018-03-15,275.67,2018-04-17,270.25,360.43946575632526,-2148.3020268749824,-0.019661189102912924,33
2,SPY,2018-04-20,267.11,2018-08-08,285.14,363.6426107034078,6349.201852004524,0.06750028078319792,110
3,SPY,2018-08-10,283.7,2018-08-22,286.18,362.98792855384994,692.5541719118628,0.00874162848078952,12
4,SPY,2018-09-05,288.71,2018-11-08,280.39,358.2897806803491,-3181.7922575988196,-0.028817844896262712,64
5,SPY,2018-11-20,264.12,2018-11-29,274.16,379.4582090142808,3601.7999255992618,0.03801302438285625,9
6,SPY,2018-12-07,263.31,2019-01-02,246.7,392.8969432557856,-6719.776651605105,-0.06308153887053292,26
7,SPY,2019-02-07,269.46,2019-02-14,273.6,359.5088176716476,1291.741641743225,0.015364061456246025,7
8,SPY,2019-03-04,279.07,2019-03-29,282.58,350.8662678627438,1033.344168042895,0.0125774895187587,25
9,SPY,2019-04-09,287.12,2019-04-10,288.7,343.7997786216638,344.7929130421544,0.005502925606018394,1
10,SPY,2019-05-02,291.37,2019-06-18,292.82,339.2651938202541,293.34660656453343,0.004976490373065134,47
11,SPY,2019-06-28,294.47,2019-07-26,301.35,336.0018564248811,2109.2857074953354,0.02336400991612053,28
12,SPY,2019-09-16,300.5,2019-10-30,304.5,335.30184160251343,1137.1106442848832,0.01331114808652245,44
13,SPY,2019-11-12,308.4,2019-11-14,310.62,329.594429983365,527.0447695020557,0.0071984435797667334,2
14,SPY,2019-11-19,311.38,2019-11-26,314.42,327.4275451895677,789.5831496280443,0.009762990558160434,7
15,SPY,2019-12-03,309.25,2020-01-09,327.22,331.48159358921436,5739.8978900967195,0.0581083265966047,37
16,SPY,2020-01-17,331.6,2020-02-06,333.63,324.99613428997156,442.99366050258686,0.006121833534378673,20
17,SPY,2020-02-20,336.0,2020-04-06,266.55,321.38303322411247,-22491.295287778863,-0.20669642857142856,46
18,SPY,2020-05-06,283.68,2020-05-18,295.46,304.6132794911076,3408.432354327917,0.04152566271855607,12
19,SPY,2020-06-11,303.08,2020-06-22,312.33,295.25682872459123,2546.7827526366746,0.030519994720865862,11
20,SPY,2020-07-23,323.45,2020-08-03,328.83,283.61655284403025,1339.4270537885604,0.01663317359715566,11
21,SPY,2020-08-14,336.6,2020-08-25,344.55,275.79870647320956,2002.6418542756292,0.023618538324420735,11
22,SPY,2020-09-03,343.27,2020-10-05,338.84,275.4679461169166,-1406.9087794635998,-0.012905293209427016,32
23,SPY,2020-10-16,346.21,2020-11-04,344.44,268.7489238197482,-660.7287859225762,-0.00511250397157792,19
24,SPY,2020-12-09,367.5,2021-01-07,379.88,250.99048001165232,2916.6649617141375,0.03368707482993205,29
25,SPY,2021-01-27,372.26,2021-02-02,383.34,254.7533750287197,2627.450734909973,0.029764143340675897,6
