date,date,symbol,signal,entry_price,stop_loss,take_profit,position_size
2024-08-22 15:35:00,2024-08-22 15:35:00,SPY,-1,,,,0.05
2024-08-22 15:40:00,2024-08-22 15:40:00,SPY,-1,,,,0.05
2024-08-22 15:45:00,2024-08-22 15:45:00,SPY,-1,,,,0.05
2024-08-22 15:50:00,2024-08-22 15:50:00,SPY,-1,,,,0.05
2024-08-22 15:55:00,2024-08-22 15:55:00,SPY,-1,,,,0.05
2024-08-22 17:50:00,2024-08-22 17:50:00,SPY,-1,,,,0.05
2024-08-22 18:00:00,2024-08-22 18:00:00,SPY,-1,,,,0.05
2024-08-23 16:00:00,2024-08-23 16:00:00,SPY,-1,,,,0.05
2024-08-23 16:05:00,2024-08-23 16:05:00,SPY,-1,,,,0.05
2024-08-23 16:10:00,2024-08-23 16:10:00,SPY,-1,,,,0.05
2024-08-23 16:15:00,2024-08-23 16:15:00,SPY,-1,,,,0.05
2024-08-23 16:20:00,2024-08-23 16:20:00,SPY,-1,,,,0.05
2024-08-23 16:25:00,2024-08-23 16:25:00,SPY,-1,,,,0.05
2024-08-26 14:15:00,2024-08-26 14:15:00,SPY,-1,,,,0.05
2024-08-26 14:20:00,2024-08-26 14:20:00,SPY,-1,,,,0.05
2024-08-26 14:25:00,2024-08-26 14:25:00,SPY,-1,,,,0.05
2024-08-26 14:30:00,2024-08-26 14:30:00,SPY,-1,,,,0.05
2024-08-26 14:35:00,2024-08-26 14:35:00,SPY,-1,,,,0.05
2024-08-26 14:40:00,2024-08-26 14:40:00,SPY,-1,,,,0.05
2024-08-26 14:45:00,2024-08-26 14:45:00,SPY,-1,,,,0.05
2024-08-26 15:50:00,2024-08-26 15:50:00,SPY,-1,,,,0.05
2024-08-26 15:55:00,2024-08-26 15:55:00,SPY,-1,,,,0.05
2024-08-26 16:00:00,2024-08-26 16:00:00,SPY,-1,,,,0.05
2024-08-26 16:05:00,2024-08-26 16:05:00,SPY,-1,,,,0.05
2024-08-26 16:10:00,2024-08-26 16:10:00,SPY,-1,,,,0.05
2024-08-27 13:35:00,2024-08-27 13:35:00,SPY,-1,,,,0.05
2024-08-27 15:45:00,2024-08-27 15:45:00,SPY,-1,,,,0.05
2024-08-27 15:50:00,2024-08-27 15:50:00,SPY,-1,,,,0.05
2024-08-28 15:00:00,2024-08-28 15:00:00,SPY,-1,,,,0.05
2024-08-28 15:10:00,2024-08-28 15:10:00,SPY,-1,,,,0.05
2024-08-28 15:15:00,2024-08-28 15:15:00,SPY,-1,,,,0.05
2024-08-28 15:20:00,2024-08-28 15:20:00,SPY,-1,,,,0.05
2024-08-28 16:20:00,2024-08-28 16:20:00,SPY,-1,,,,0.05
2024-08-28 18:15:00,2024-08-28 18:15:00,SPY,-1,,,,0.05
2024-08-28 18:20:00,2024-08-28 18:20:00,SPY,-1,,,,0.05
2024-08-28 18:25:00,2024-08-28 18:25:00,SPY,-1,,,,0.05
2024-08-29 17:25:00,2024-08-29 17:25:00,SPY,-1,,,,0.05
2024-08-29 17:30:00,2024-08-29 17:30:00,SPY,-1,,,,0.05
2024-08-29 17:45:00,2024-08-29 17:45:00,SPY,-1,,,,0.05
2024-08-29 18:25:00,2024-08-29 18:25:00,SPY,-1,,,,0.05
2024-08-29 18:30:00,2024-08-29 18:30:00,SPY,-1,,,,0.05
2024-08-29 18:35:00,2024-08-29 18:35:00,SPY,-1,,,,0.05
2024-08-29 18:40:00,2024-08-29 18:40:00,SPY,-1,,,,0.05
2024-08-29 18:45:00,2024-08-29 18:45:00,SPY,-1,,,,0.05
2024-08-29 18:50:00,2024-08-29 18:50:00,SPY,-1,,,,0.05
2024-08-29 18:55:00,2024-08-29 18:55:00,SPY,-1,,,,0.05
2024-08-29 19:00:00,2024-08-29 19:00:00,SPY,-1,,,,0.05
2024-08-29 19:05:00,2024-08-29 19:05:00,SPY,-1,,,,0.05
2024-08-29 19:10:00,2024-08-29 19:10:00,SPY,-1,,,,0.05
2024-08-30 15:20:00,2024-08-30 15:20:00,SPY,-1,,,,0.05
2024-08-30 15:30:00,2024-08-30 15:30:00,SPY,-1,,,,0.05
2024-08-30 15:35:00,2024-08-30 15:35:00,SPY,-1,,,,0.05
2024-08-30 15:40:00,2024-08-30 15:40:00,SPY,-1,,,,0.05
2024-08-30 15:45:00,2024-08-30 15:45:00,SPY,-1,,,,0.05
2024-08-30 16:35:00,2024-08-30 16:35:00,SPY,-1,,,,0.05
2024-09-03 14:05:00,2024-09-03 14:05:00,SPY,-1,,,,0.05
2024-09-03 14:10:00,2024-09-03 14:10:00,SPY,-1,,,,0.05
2024-09-03 14:15:00,2024-09-03 14:15:00,SPY,-1,,,,0.05
2024-09-03 14:40:00,2024-09-03 14:40:00,SPY,-1,,,,0.05
2024-09-03 14:45:00,2024-09-03 14:45:00,SPY,-1,,,,0.05
2024-09-03 14:50:00,2024-09-03 14:50:00,SPY,-1,,,,0.05
2024-09-03 16:55:00,2024-09-03 16:55:00,SPY,-1,,,,0.05
2024-09-03 17:00:00,2024-09-03 17:00:00,SPY,-1,,,,0.05
2024-09-03 18:05:00,2024-09-03 18:05:00,SPY,-1,,,,0.05
2024-09-03 18:10:00,2024-09-03 18:10:00,SPY,-1,,,,0.05
2024-09-03 18:15:00,2024-09-03 18:15:00,SPY,-1,,,,0.05
2024-09-03 18:20:00,2024-09-03 18:20:00,SPY,-1,,,,0.05
2024-09-03 18:25:00,2024-09-03 18:25:00,SPY,-1,,,,0.05
2024-09-03 18:35:00,2024-09-03 18:35:00,SPY,-1,,,,0.05
2024-09-03 18:40:00,2024-09-03 18:40:00,SPY,-1,,,,0.05
2024-09-03 19:15:00,2024-09-03 19:15:00,SPY,-1,,,,0.05
2024-09-03 19:20:00,2024-09-03 19:20:00,SPY,-1,,,,0.05
2024-09-03 19:30:00,2024-09-03 19:30:00,SPY,-1,,,,0.05
2024-09-03 19:35:00,2024-09-03 19:35:00,SPY,-1,,,,0.05
