name,model_type,cv_scores,cv_mean,cv_std,total_return,ann_return,ann_volatility,sharpe_ratio,max_drawdown,cagr_dd_ratio,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_holding_period,accuracy,precision,recall,f1,current_regime,best_regime,worst_regime,strategy_type,strategy_name,config_name,config_model_type,config_symbol,config_position_size,config_primary_timeframe,config_bb_period,config_bb_std,config_rsi_period,config_rsi_overbought,config_rsi_oversold,config_supertrend_period,config_supertrend_multiplier,config_adx_primary_threshold,config_adx_secondary_threshold,config_atr_stop_multiplier,config_bars_to_enter,config_allow_same_bar_exit,bb_period,rsi_period,rsi_overbought,rsi_oversold,supertrend_period,supertrend_multiplier,adx_primary_threshold,adx_secondary_threshold,atr_stop_multiplier,primary_timeframe,uses_dual_timeframe,config_tema_primary_fast,config_tema_primary_slow,config_tema_secondary_fast,config_tema_secondary_slow,config_adx_threshold,config_cmo_long_threshold,config_cmo_short_threshold,config_atr_entry_offset,config_atr_stop_loss,config_atr_take_profit,config_use_dual_timeframe,tema_primary_fast,tema_primary_slow,tema_secondary_fast,tema_secondary_slow,adx_threshold,cmo_long_threshold,cmo_short_threshold,atr_entry_offset,atr_stop_loss,atr_take_profit,bars_to_enter,use_dual_timeframe,config_use_stoch_reversal,config_use_stoch_pullback,config_use_d60_trend_entry,config_use_d60_trend_exit,config_use_trailing_stop,config_use_force_eod,config_stoch_k_period,config_stoch_d_period,config_stoch_overbought,config_stoch_oversold,config_d60_lookback,config_trend_threshold,config_long_tp_perc,config_long_sl_perc,config_long_trail_activation_perc,config_long_trail_offset_ticks,config_rev_long_exit_count,config_rev_long_exit_threshold,config_rev_short_exit_count,config_rev_short_exit_threshold,config_pullback_long_exit_count,config_pullback_long_exit_threshold,config_pullback_short_exit_count,config_pullback_short_exit_threshold,config_end_of_day_hour,config_end_of_day_minute,use_stoch_reversal,use_stoch_pullback,use_d60_trend_entry,use_d60_trend_exit,use_trailing_stop,use_force_eod,stoch_k_period,stoch_d_period,stoch_overbought,stoch_oversold,d60_lookback,trend_threshold,long_tp_perc,long_sl_perc
Decision Tree,decision_tree,[0.50724638 0.50149719 0.50898419 0.51030187 0.51269765],0.5081454541551963,0.0037705151713546374,0.10326171928660477,0.11428584697123245,0.06518792910369305,1.4463697231623045,0.031783281361975946,3.595785018848267,4.0,0.75,81.7867763477898,3605.115972970411,-132.2383446551321,2318.5364583333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Tree (Calibrated),decision_tree,[0.50724638 0.50149719 0.50898419 0.51030187 0.51269765],0.5081454541551963,0.0037705151713546374,0.10326171928660477,0.11428584697123245,0.06518792910369305,1.4463697231623045,0.031783281361975946,3.595785018848267,4.0,0.75,81.7867763477898,3605.115972970411,-132.2383446551321,2318.5364583333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest,random_forest,[0.50365313 0.5080848  0.50682798 0.5088644  0.51209871],0.5079058040744445,0.0027487557124362245,0.03518662970608144,0.038814943765894006,0.06300041797142329,0.298647919676158,0.08114629862192901,0.47833289287460656,4.0,0.5,1.6559258374502963,5056.479212590049,-3053.566227564719,3541.4843749999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest (Calibrated),random_forest,[0.50365313 0.5080848  0.50682798 0.5088644  0.51209871],0.5079058040744445,0.0027487557124362245,0.03518662970608144,0.038814943765894006,0.06300041797142335,0.2986479196761577,0.08114629862192901,0.47833289287460656,4.0,0.5,1.6559258374502974,5056.479212590053,-3053.566227564719,3541.4843749999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBoost (Fixed Position),xgboost,[0.51287579 0.50257516 0.50670819 0.50515093 0.50371346],0.5062047088895014,0.0036124020193779582,-0.04763384923734959,-0.05232503085255702,0.08008760417718605,-0.9030739725032217,0.10713104301821841,-0.48842081042428354,25.0,0.4,0.9735042189806941,1061.579403735086,-726.9815463471479,316.28999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBoost (Confidence-Scaled),xgboost,[0.51287579 0.50257516 0.50670819 0.50515093 0.50371346],0.5062047088895014,0.0036124020193779582,-0.02987651133418001,-0.03284913577031934,0.046361743535450736,-1.1399298589775424,0.06498166715057618,-0.5055138966225811,25.0,0.4,0.9558635565269898,628.4268844470237,-438.29608675554334,316.28999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stacking Ensemble,stacking,[0.51024075 0.51838544 0.50730714 0.51425491 0.51377575],0.5127927976477533,0.003767943321027725,-0.3844022022604059,-0.4138903424994783,0.02241020188893597,-19.361286643012892,0.3844922797560024,-1.076459435706048,699.0,0.19456366237482117,0.20999994608337116,37.79614271032157,-43.47692403238145,23.04524320457797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regime Adaptive RF,random_forest,[0.51323512 0.50736615 0.50922377 0.51653091 0.50742693],0.5107565739992905,0.00358934779184576,,,,,,,,,,,,,,,,,weak_uptrend,"{'label': 'volatile_neutral', 'ann_return': 0.01928079571541197, 'sharpe': 0.0, 'win_rate': 1.0}","{'label': 'weak_downtrend', 'ann_return': -0.006733439315771961, 'sharpe': -0.21388581828243874, 'win_rate': 0.5035862589656475}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB-RSI-ADX Momentum (5min),bb_rsi_adx,,,,,,,,,,,,,,,,,,,,,,,BBRSIADXAdapter,BB-RSI-ADX Momentum (5min),BB-RSI-ADX Momentum (5min),bb_rsi_adx,SPY,0.05,5T,20.0,2.0,9.0,75.0,25.0,10.0,2.5,15.0,30.0,4.0,1.0,True,20.0,9.0,75.0,25.0,10.0,2.5,15.0,30.0,4.0,5T,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMA Trend Following (5min),tema,,,,,,,,,,,,,,,,,,,,,,,TEMAAdapter,TEMA Trend Following (5min),TEMA Trend Following (5min),tema,SPY,0.05,5T,,,,,,,,,,,3.0,True,,,,,,,,,,5T,,8.0,26.0,12.0,35.0,25.0,30.0,-30.0,0.5,2.0,2.0,False,8.0,26.0,12.0,35.0,25.0,30.0,-30.0,0.5,2.0,2.0,3.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
