date,date,symbol,signal,entry_price,stop_loss,take_profit,position_size
2018-02-05,2018-02-05,SPY,-1,,,,0.1
2018-02-08,2018-02-08,SPY,-1,,,,0.1
2018-03-29,2018-03-29,SPY,-1,,,,0.1
2018-04-02,2018-04-02,SPY,-1,,,,0.1
2018-04-03,2018-04-03,SPY,-1,,,,0.1
2018-06-28,2018-06-28,SPY,-1,,,,0.1
2018-06-29,2018-06-29,SPY,-1,,,,0.1
2018-07-02,2018-07-02,SPY,-1,,,,0.1
2018-07-03,2018-07-03,SPY,-1,,,,0.1
2018-10-22,2018-10-22,SPY,-1,,,,0.1
2018-10-23,2018-10-23,SPY,-1,,,,0.1
2018-10-24,2018-10-24,SPY,-1,,,,0.1
2018-10-25,2018-10-25,SPY,-1,,,,0.1
2018-10-26,2018-10-26,SPY,-1,,,,0.1
2018-10-29,2018-10-29,SPY,-1,,,,0.1
2019-10-02,2019-10-02,SPY,-1,,,,0.1
2019-10-03,2019-10-03,SPY,-1,,,,0.1
2020-03-09,2020-03-09,SPY,-1,,,,0.1
2020-03-10,2020-03-10,SPY,-1,,,,0.1
2020-03-11,2020-03-11,SPY,-1,,,,0.1
2020-03-12,2020-03-12,SPY,-1,,,,0.1
2020-03-16,2020-03-16,SPY,-1,,,,0.1
2020-03-17,2020-03-17,SPY,-1,,,,0.1
2020-03-20,2020-03-20,SPY,-1,,,,0.1
2020-03-23,2020-03-23,SPY,-1,,,,0.1
2020-03-24,2020-03-24,SPY,-1,,,,0.1
2021-09-21,2021-09-21,SPY,-1,,,,0.1
2022-01-21,2022-01-21,SPY,-1,,,,0.1
2022-01-24,2022-01-24,SPY,-1,,,,0.1
2022-01-25,2022-01-25,SPY,-1,,,,0.1
2022-01-26,2022-01-26,SPY,-1,,,,0.1
2022-01-27,2022-01-27,SPY,-1,,,,0.1
2022-01-28,2022-01-28,SPY,-1,,,,0.1
2022-02-22,2022-02-22,SPY,-1,,,,0.1
2022-02-23,2022-02-23,SPY,-1,,,,0.1
2022-04-22,2022-04-22,SPY,-1,,,,0.1
2022-04-25,2022-04-25,SPY,-1,,,,0.1
2022-04-26,2022-04-26,SPY,-1,,,,0.1
2022-04-29,2022-04-29,SPY,-1,,,,0.1
2022-05-09,2022-05-09,SPY,-1,,,,0.1
2022-05-10,2022-05-10,SPY,-1,,,,0.1
2022-05-11,2022-05-11,SPY,-1,,,,0.1
2022-05-24,2022-05-24,SPY,-1,,,,0.1
2022-09-02,2022-09-02,SPY,-1,,,,0.1
2022-09-06,2022-09-06,SPY,-1,,,,0.1
2022-09-07,2022-09-07,SPY,-1,,,,0.1
2022-09-27,2022-09-27,SPY,-1,,,,0.1
2022-09-28,2022-09-28,SPY,-1,,,,0.1
2022-09-29,2022-09-29,SPY,-1,,,,0.1
2022-09-30,2022-09-30,SPY,-1,,,,0.1
2023-03-10,2023-03-10,SPY,-1,,,,0.1
2023-09-28,2023-09-28,SPY,-1,,,,0.1
2023-09-29,2023-09-29,SPY,-1,,,,0.1
2023-10-02,2023-10-02,SPY,-1,,,,0.1
2023-10-03,2023-10-03,SPY,-1,,,,0.1
2023-10-04,2023-10-04,SPY,-1,,,,0.1
2023-10-05,2023-10-05,SPY,-1,,,,0.1
2023-10-27,2023-10-27,SPY,-1,,,,0.1
2024-04-18,2024-04-18,SPY,-1,,,,0.1
2024-04-19,2024-04-19,SPY,-1,,,,0.1
2025-03-11,2025-03-11,SPY,-1,,,,0.1
2025-03-12,2025-03-12,SPY,-1,,,,0.1
2025-03-13,2025-03-13,SPY,-1,,,,0.1
2025-03-14,2025-03-14,SPY,-1,,,,0.1
2025-04-08,2025-04-08,SPY,-1,,,,0.1
