date,equity,cash,holdings
2018-02-08,100000.0,100000.0,0
2018-02-09,100000.0,100000.0,0
2018-02-12,100000.0,100000.0,0
2018-02-13,100000.0,100000.0,0
2018-02-14,100000.0,100000.0,0
2018-02-15,100000.0,100000.0,0
2018-02-16,100000.0,100000.0,0
2018-02-20,100000.0,100000.0,0
2018-02-21,100000.0,100000.0,0
2018-02-22,100000.0,100000.0,0
2018-02-23,100000.0,100000.0,0
2018-02-26,100000.0,100000.0,0
2018-02-27,100000.0,100000.0,0
2018-02-28,100000.0,100000.0,0
2018-03-01,100000.0,100000.0,0
2018-03-02,100000.0,100000.0,0
2018-03-05,100000.0,100000.0,0
2018-03-06,100000.0,100000.0,0
2018-03-07,100000.0,100000.0,0
2018-03-08,100000.0,100000.0,0
2018-03-09,100000.0,100000.0,0
2018-03-12,100000.0,100000.0,0
2018-03-13,100000.0,100000.0,0
2018-03-14,100000.0,100000.0,0
2018-03-15,100000.0,100000.0,0
2018-03-16,100000.0,100000.0,0
2018-03-19,100000.0,100000.0,0
2018-03-20,100000.0,100000.0,0
2018-03-21,100000.0,100000.0,0
2018-03-22,99999.82113187567,99910.43176439052,89.38936748514419
2018-03-23,99998.6781762227,99910.43176439052,88.24641183218527
2018-03-26,100000.95726391279,99910.43176439052,90.52549952226452
2018-03-27,99999.42195034912,99910.43176439052,88.99018595858838
2018-03-28,99999.31959611153,99910.43176439052,88.88783172100997
2018-03-29,100000.04289939042,99910.43176439052,89.6111349998974
2018-04-02,99998.412055205,99910.43176439052,87.98029081448142
2018-04-03,99999.23430091355,99910.43176439052,88.80253652302797
2018-04-04,100000.69796651092,99910.43176439052,90.26620212039923
2018-04-05,100000.04631119834,99910.43176439052,89.6145468078167
2018-04-06,99998.95453266417,99910.43176439052,88.52276827364697
2018-04-09,99999.52089277878,99910.43176439052,89.08912838824752
2018-04-10,100000.61949492877,99910.43176439052,90.18773053825578
2018-04-11,100000.59561227335,99910.43176439052,90.16384788282082
2018-04-12,100000.91291040984,99910.43176439052,90.48114601931388
2018-04-13,100000.95726391279,99910.43176439052,90.52549952226452
2018-04-16,100001.74197973422,99910.43176439052,91.310215343699
2018-04-17,100002.63587340908,99910.43176439052,92.20410901855044
2018-04-18,100002.82352284463,99910.43176439052,92.39175845411087
2018-04-19,100002.1616321083,99910.43176439052,91.72986771777049
2018-04-20,100001.56456572242,99910.43176439052,91.13280133189643
2018-04-23,100001.56797753034,99910.43176439052,91.13621313981571
2018-04-24,100000.31584402396,99910.43176439052,89.88407963343982
2018-04-25,100000.75937905347,99910.43176439052,90.32761466294627
2018-04-26,100001.49632956403,99910.43176439052,91.06456517351083
2018-04-27,100001.37350447894,99910.43176439052,90.94174008841674
2018-04-30,100000.71843735843,99910.43176439052,90.28667296791491
2018-05-01,100000.99138199197,99910.43176439052,90.55961760145733
2018-05-02,100000.06337023794,99910.43176439052,89.63160584741308
