date,date,symbol,signal,entry_price,stop_loss,take_profit,position_size
2018-01-05,2018-01-05,SPY,1,,,,0.1
2018-01-08,2018-01-08,SPY,1,,,,0.1
2018-01-09,2018-01-09,SPY,1,,,,0.1
2018-01-10,2018-01-10,SPY,1,,,,0.1
2018-01-11,2018-01-11,SPY,1,,,,0.1
2018-01-12,2018-01-12,SPY,1,,,,0.1
2018-01-16,2018-01-16,SPY,1,,,,0.1
2018-01-17,2018-01-17,SPY,1,,,,0.1
2018-01-18,2018-01-18,SPY,1,,,,0.1
2018-01-19,2018-01-19,SPY,1,,,,0.1
2018-01-22,2018-01-22,SPY,1,,,,0.1
2018-01-23,2018-01-23,SPY,1,,,,0.1
2018-01-24,2018-01-24,SPY,1,,,,0.1
2018-01-25,2018-01-25,SPY,1,,,,0.1
2018-01-26,2018-01-26,SPY,1,,,,0.1
2018-01-29,2018-01-29,SPY,1,,,,0.1
2018-02-05,2018-02-05,SPY,-1,,,,0.1
2018-02-08,2018-02-08,SPY,-1,,,,0.1
2018-03-29,2018-03-29,SPY,-1,,,,0.1
2018-04-02,2018-04-02,SPY,-1,,,,0.1
2018-04-03,2018-04-03,SPY,-1,,,,0.1
2018-05-14,2018-05-14,SPY,1,,,,0.1
2018-06-28,2018-06-28,SPY,-1,,,,0.1
2018-06-29,2018-06-29,SPY,-1,,,,0.1
2018-07-02,2018-07-02,SPY,-1,,,,0.1
2018-07-03,2018-07-03,SPY,-1,,,,0.1
2018-07-16,2018-07-16,SPY,1,,,,0.1
2018-07-17,2018-07-17,SPY,1,,,,0.1
2018-07-18,2018-07-18,SPY,1,,,,0.1
2018-07-19,2018-07-19,SPY,1,,,,0.1
2018-07-20,2018-07-20,SPY,1,,,,0.1
2018-10-22,2018-10-22,SPY,-1,,,,0.1
2018-10-23,2018-10-23,SPY,-1,,,,0.1
2018-10-24,2018-10-24,SPY,-1,,,,0.1
2018-10-25,2018-10-25,SPY,-1,,,,0.1
2018-10-26,2018-10-26,SPY,-1,,,,0.1
2018-10-29,2018-10-29,SPY,-1,,,,0.1
2019-01-15,2019-01-15,SPY,1,,,,0.1
2019-01-16,2019-01-16,SPY,1,,,,0.1
2019-01-17,2019-01-17,SPY,1,,,,0.1
2019-09-13,2019-09-13,SPY,1,,,,0.1
2019-09-16,2019-09-16,SPY,1,,,,0.1
2019-10-02,2019-10-02,SPY,-1,,,,0.1
2019-10-03,2019-10-03,SPY,-1,,,,0.1
2019-10-28,2019-10-28,SPY,1,,,,0.1
2020-03-09,2020-03-09,SPY,-1,,,,0.1
2020-03-10,2020-03-10,SPY,-1,,,,0.1
2020-03-11,2020-03-11,SPY,-1,,,,0.1
2020-03-12,2020-03-12,SPY,-1,,,,0.1
2020-03-16,2020-03-16,SPY,-1,,,,0.1
2020-03-17,2020-03-17,SPY,-1,,,,0.1
2020-03-20,2020-03-20,SPY,-1,,,,0.1
2020-03-23,2020-03-23,SPY,-1,,,,0.1
2020-03-24,2020-03-24,SPY,-1,,,,0.1
2020-04-09,2020-04-09,SPY,1,,,,0.1
2020-04-13,2020-04-13,SPY,1,,,,0.1
2020-07-17,2020-07-17,SPY,1,,,,0.1
2020-07-20,2020-07-20,SPY,1,,,,0.1
2020-07-21,2020-07-21,SPY,1,,,,0.1
2020-07-22,2020-07-22,SPY,1,,,,0.1
2020-08-18,2020-08-18,SPY,1,,,,0.1
2020-08-19,2020-08-19,SPY,1,,,,0.1
2020-08-20,2020-08-20,SPY,1,,,,0.1
2020-08-21,2020-08-21,SPY,1,,,,0.1
2020-08-24,2020-08-24,SPY,1,,,,0.1
2020-08-25,2020-08-25,SPY,1,,,,0.1
2020-08-26,2020-08-26,SPY,1,,,,0.1
2020-08-27,2020-08-27,SPY,1,,,,0.1
2020-08-28,2020-08-28,SPY,1,,,,0.1
2020-08-31,2020-08-31,SPY,1,,,,0.1
2020-09-01,2020-09-01,SPY,1,,,,0.1
2020-09-02,2020-09-02,SPY,1,,,,0.1
2020-11-16,2020-11-16,SPY,1,,,,0.1
