date,open,high,low,close,volume,average,barCount
1999-12-20,142.56,143.19,141.09,141.66,4608700.0,141.656,1
1999-12-21,141.59,144.06,141.34,143.81,7981300.0,143.812,1
1999-12-22,143.63,144.19,142.97,144.19,5377500.0,144.188,1
1999-12-23,145.02,146.48,145.0,146.48,5721700.0,146.484,1
1999-12-27,146.5,146.78,145.06,146.28,2691000.0,146.281,1
1999-12-28,145.88,146.5,145.48,146.19,4084500.0,146.188,1
1999-12-29,146.31,146.81,145.31,146.81,3001000.0,146.812,1
1999-12-30,147.13,147.56,146.19,146.64,3641300.0,146.641,1
1999-12-31,146.84,147.5,146.25,146.88,3172700.0,146.875,1
2000-01-03,148.25,148.25,143.88,145.44,8164300.0,145.438,1
2000-01-04,143.53,144.06,139.64,139.75,8089800.0,139.75,1
2000-01-05,139.94,141.53,137.25,140.0,12177900.0,140.0,1
2000-01-06,139.63,141.5,137.75,137.75,6227200.0,137.75,1
2000-01-07,140.31,145.75,140.06,145.75,8066500.0,145.75,1
2000-01-10,146.25,146.91,145.03,146.25,5741700.0,146.25,1
2000-01-11,145.81,146.09,143.5,144.5,7503700.0,144.5,1
2000-01-12,144.59,144.59,142.88,143.06,6907700.0,143.062,1
2000-01-13,144.47,145.75,143.28,145.0,5158300.0,145.0,1
2000-01-14,146.53,147.47,145.97,146.97,7437300.0,146.969,1
2000-01-18,145.34,146.63,145.19,145.81,6488500.0,145.812,1
2000-01-19,145.31,147.0,145.0,147.0,6157900.0,147.0,1
2000-01-20,146.97,146.97,143.81,144.75,5800100.0,144.75,1
2000-01-21,145.5,145.5,144.06,144.44,6244800.0,144.438,1
2000-01-24,145.66,145.84,139.41,140.34,7896900.0,140.344,1
2000-01-25,140.52,141.94,139.0,141.94,9942500.0,141.938,1
2000-01-26,141.0,141.55,140.09,140.81,5158100.0,140.812,1
2000-01-27,141.84,142.22,138.13,140.25,10922700.0,140.25,1
2000-01-28,139.44,140.06,135.53,135.88,11916200.0,135.875,1
2000-01-31,135.81,139.67,135.0,139.56,10768700.0,139.562,1
2000-02-01,139.75,141.69,138.53,140.94,8419900.0,140.938,1
2000-02-02,141.28,142.25,140.38,141.06,6205900.0,141.062,1
2000-02-03,140.88,143.25,140.0,143.19,7997500.0,143.188,1
2000-02-04,143.19,144.0,142.13,142.59,4925400.0,142.594,1
2000-02-07,142.56,142.78,141.44,142.38,5845800.0,142.375,1
2000-02-08,143.97,144.56,143.63,144.31,4936500.0,144.312,1
2000-02-09,144.47,144.47,141.27,141.28,8511500.0,141.281,1
2000-02-10,141.63,142.56,140.88,141.56,6690600.0,141.562,1
2000-02-11,141.84,141.94,138.03,138.69,9849800.0,138.688,1
2000-02-14,139.78,139.78,138.31,139.5,8528800.0,139.5,1
2000-02-15,139.25,141.22,137.8,141.09,11078300.0,141.094,1
2000-02-16,140.38,140.94,138.8,139.0,8845400.0,139.0,1
2000-02-17,140.44,140.44,138.22,138.28,7584200.0,138.281,1
2000-02-18,138.88,138.88,134.63,135.31,9409200.0,135.312,1
2000-02-22,135.19,136.34,133.53,134.97,16415400.0,134.969,1
2000-02-23,135.63,137.47,134.5,136.56,12119000.0,136.562,1
2000-02-24,136.69,137.03,133.09,133.81,17375000.0,133.812,1
2000-02-25,135.19,136.72,133.13,133.33,10559900.0,133.328,1
2000-02-28,133.38,136.69,132.72,136.13,13397800.0,136.125,1
2000-02-29,136.06,137.44,135.75,137.44,8242500.0,137.438,1
2000-03-01,137.63,139.0,137.22,138.44,6868000.0,138.438,1
2000-03-02,138.69,139.13,137.34,138.53,7600200.0,138.531,1
2000-03-03,140.44,141.72,139.72,141.13,12770300.0,141.125,1
2000-03-06,140.81,141.34,138.75,139.75,11967100.0,139.75,1
2000-03-07,140.0,140.16,135.22,137.05,20062000.0,137.047,1
2000-03-08,136.47,137.84,135.03,136.88,11808500.0,136.875,1
2000-03-09,137.25,140.88,136.13,140.88,5500900.0,140.875,1
2000-03-10,140.19,142.0,139.53,140.13,7924600.0,140.125,1
2000-03-13,136.69,140.47,136.5,138.59,10540400.0,138.594,1
2000-03-14,139.28,140.09,136.16,136.63,8263900.0,136.625,1
2000-03-15,136.88,140.44,136.06,139.81,10300800.0,139.812,1
